"","Population","Temperature","PH","GROUP","Total.Spawned","Days.Stocked","Larvae.stocked.adjusted","Mean.larvae.stocked","Setters.stocked","survival.setters","survival.postset","Juv.stocked","Juv.meanlength","Deployment.stocked","Deployment.survival","Deployment.mean.growth","Deployment.mean.mass"
"1","HL","10","AMBIENT","HL10-AMB",939468,5,269869,49584.3870967742,13917,0.0515694651849601,9.72192282819573,1311,6.96060606060606,NA,NA,NA,NA
"2","HL","10","LOW","HL10-LOW",705188,6,300065,56081.4923076923,19858,0.0661789945511806,5.95729680733206,1091,6.55428571428571,NA,NA,NA,NA
"3","HL","6","AMBIENT","HL6-AMB",105133,1,48929,21999.6052631579,2496,0.0510126918596333,26.4823717948718,501,6.48612033195021,15,0.3,10.3479019274376,0.592551892551893
"4","HL","6","LOW","HL6-LOW",959265,3,227711,43293.4375,10686,0.0469279042294839,9.32060640089837,834,4.85419457735247,15,0.3375,8.46150699300699,0.444103535353535
"5","K","10","AMBIENT","K10-AMB",466208,9,314438,53588.0327868852,13932,0.0443076218523206,1.85902957220787,259,10.712,NA,NA,NA,NA
"6","K","10","LOW","K10-LOW",653357,7,221487,32423.3548387097,2106,0.00950845873572715,5.79297245963913,122,13.4214705882353,NA,NA,NA,NA
"7","K","6","AMBIENT","K6-AMB",517545,6,333177,47230.671641791,22186,0.0665892303490337,1.67673307491211,372,10.9560897435897,14,0.197802197802198,10.5512393162393,1.85357142857143
"8","K","6","LOW","K6-LOW",370073,5,171998,31876.6833333333,9735,0.0565994953429691,3.50282485875706,341,7.47907051282051,10,0.0444444444444444,1.87115384615385,NA
"9","NF","10","AMBIENT","NF10-AMB",1116063,5,274464,40150.7213114754,3698,0.0134735338696514,18.5235262303948,661,9.73965,NA,NA,NA,NA
"10","NF","10","LOW","NF10-LOW",439842,4,210907,29486.8358208955,2977,0.0141152261423281,2.7208599261001,77,12.3102702702703,NA,NA,NA,NA
"11","NF","6","AMBIENT","NF6-AMB",277708,4,131005,29148.1509433962,11119,0.0848746231059883,13.8141919237341,720,9.01544736842105,15,0.25,9.79525396825397,1.11915343915344
"12","NF","6","LOW","NF6-LOW",1483709,9,390136,54265.8035714286,11780,0.03019459880657,5.94227504244482,684,8.40380165289256,15.1176470588235,0.616147635524798,11.1648122442372,1.18387665286103
"13","SN","10","AMBIENT","SN10-AMB",3421057,13,708904,88962.3536585366,29595,0.0417475426856105,0.189221152221659,54,11.0159574468085,NA,NA,NA,NA
"14","SN","10","LOW","SN10-LOW",2373207,9,646529,74562.9718309859,4757,0.00735775193378797,0.735757830565482,35,12.2181481481481,NA,NA,NA,NA
"15","SN","6","AMBIENT","SN6-AMB",2178387,9,435238,50260.2166666667,11931,0.0274125880552709,1.08959852485123,128,11.18775,5,0.376470588235294,9.16359090909091,1.43045454545455
"16","SN","6","LOW","SN6-LOW",2115477,10,515788,58662.2222222222,6029,0.0116889109479088,3.63244319124233,211,11.0123958333333,5.13333333333333,0.577777777777778,10.0472272727273,1.30227272727273
"17",NA,NA,"AMBIENT","SN10-AMB-Exp",NA,NA,NA,NA,NA,NA,NA,4,17.7325,NA,NA,NA,NA
"18",NA,NA,"LOW","SN10-LOW-Exp",NA,NA,NA,NA,NA,NA,NA,19,12.8863157894737,NA,NA,NA,NA
"19",NA,NA,"AMBIENT","SN6-AMB-Exp",NA,NA,NA,NA,NA,NA,NA,68,12.8770588235294,NA,NA,NA,NA
"20",NA,NA,"LOW","SN6-LOW-Exp",NA,NA,NA,NA,NA,NA,NA,194,10.5750515463918,NA,NA,NA,NA
