"Plot Title: 20137187"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137187, SEN S/N: 20137187)","Host Connected (LGR S/N: 20137187, SEN S/N: 20137187)","Coupler Attached (LGR S/N: 20137187, SEN S/N: 20137187)","End Of File (LGR S/N: 20137187, SEN S/N: 20137187)"
1,05/17/17 11:00:00 AM,19.282,,,
2,05/17/17 11:15:00 AM,19.377,,,
3,05/17/17 11:30:00 AM,18.331,,,
4,05/17/17 11:45:00 AM,18.236,,,
5,05/17/17 12:00:00 PM,18.140,,,
6,05/17/17 12:15:00 PM,18.236,,,
7,05/17/17 12:30:00 PM,18.426,,,
8,05/17/17 12:45:00 PM,18.711,,,
9,05/17/17 01:00:00 PM,18.711,,,
10,05/17/17 01:15:00 PM,18.806,,,
11,05/17/17 01:30:00 PM,19.092,,,
12,05/17/17 01:45:00 PM,19.282,,,
13,05/17/17 02:00:00 PM,19.377,,,
14,05/17/17 02:15:00 PM,19.472,,,
15,05/17/17 02:30:00 PM,19.567,,,
16,05/17/17 02:45:00 PM,19.758,,,
17,05/17/17 03:00:00 PM,19.853,,,
18,05/17/17 03:15:00 PM,17.570,,,
19,05/17/17 03:30:00 PM,16.046,,,
20,05/17/17 03:45:00 PM,16.046,,,
21,05/17/17 04:00:00 PM,16.141,,,
22,05/17/17 04:15:00 PM,16.237,,,
23,05/17/17 04:30:00 PM,16.237,,,
24,05/17/17 04:45:00 PM,16.332,,,
25,05/17/17 05:00:00 PM,16.332,,,
26,05/17/17 05:15:00 PM,16.332,,,
27,05/17/17 05:30:00 PM,18.616,,,
28,05/17/17 05:45:00 PM,18.711,,,
29,05/17/17 06:00:00 PM,18.616,,,
30,05/17/17 06:15:00 PM,18.521,,,
31,05/17/17 06:30:00 PM,18.521,,,
32,05/17/17 06:45:00 PM,18.426,,,
33,05/17/17 07:00:00 PM,18.426,,,
34,05/17/17 07:15:00 PM,18.331,,,
35,05/17/17 07:30:00 PM,18.331,,,
36,05/17/17 07:45:00 PM,18.331,,,
37,05/17/17 08:00:00 PM,18.331,,,
38,05/17/17 08:15:00 PM,18.236,,,
39,05/17/17 08:30:00 PM,18.236,,,
40,05/17/17 08:45:00 PM,18.236,,,
41,05/17/17 09:00:00 PM,18.236,,,
42,05/17/17 09:15:00 PM,18.140,,,
43,05/17/17 09:30:00 PM,18.140,,,
44,05/17/17 09:45:00 PM,18.140,,,
45,05/17/17 10:00:00 PM,18.045,,,
46,05/17/17 10:15:00 PM,18.045,,,
47,05/17/17 10:30:00 PM,18.045,,,
48,05/17/17 10:45:00 PM,18.045,,,
49,05/17/17 11:00:00 PM,17.950,,,
50,05/17/17 11:15:00 PM,17.950,,,
51,05/17/17 11:30:00 PM,17.950,,,
52,05/17/17 11:45:00 PM,17.950,,,
53,05/18/17 12:00:00 AM,17.855,,,
54,05/18/17 12:15:00 AM,17.855,,,
55,05/18/17 12:30:00 AM,17.855,,,
56,05/18/17 12:45:00 AM,17.855,,,
57,05/18/17 01:00:00 AM,17.760,,,
58,05/18/17 01:15:00 AM,17.760,,,
59,05/18/17 01:30:00 AM,17.760,,,
60,05/18/17 01:45:00 AM,17.760,,,
61,05/18/17 02:00:00 AM,17.760,,,
62,05/18/17 02:15:00 AM,17.760,,,
63,05/18/17 02:30:00 AM,17.665,,,
64,05/18/17 02:45:00 AM,17.665,,,
65,05/18/17 03:00:00 AM,17.665,,,
66,05/18/17 03:15:00 AM,17.665,,,
67,05/18/17 03:30:00 AM,17.570,,,
68,05/18/17 03:45:00 AM,17.570,,,
69,05/18/17 04:00:00 AM,17.570,,,
70,05/18/17 04:15:00 AM,17.570,,,
71,05/18/17 04:30:00 AM,17.570,,,
72,05/18/17 04:45:00 AM,17.570,,,
73,05/18/17 05:00:00 AM,17.475,,,
74,05/18/17 05:15:00 AM,17.475,,,
75,05/18/17 05:30:00 AM,17.475,,,
76,05/18/17 05:45:00 AM,17.475,,,
77,05/18/17 06:00:00 AM,17.475,,,
78,05/18/17 06:15:00 AM,17.475,,,
79,05/18/17 06:30:00 AM,17.475,,,
80,05/18/17 06:45:00 AM,17.379,,,
81,05/18/17 07:00:00 AM,17.379,,,
82,05/18/17 07:15:00 AM,17.379,,,
83,05/18/17 07:30:00 AM,17.379,,,
84,05/18/17 07:45:00 AM,17.379,,,
85,05/18/17 08:00:00 AM,17.379,,,
86,05/18/17 08:15:00 AM,17.379,,,
87,05/18/17 08:30:00 AM,17.379,,,
88,05/18/17 08:45:00 AM,17.379,,,
89,05/18/17 09:00:00 AM,17.379,,,
90,05/18/17 09:15:00 AM,17.379,,,
91,05/18/17 09:30:00 AM,17.379,,,
92,05/18/17 09:45:00 AM,17.379,,,
93,05/18/17 10:00:00 AM,17.475,,,
94,05/18/17 10:15:00 AM,17.475,,,
95,05/18/17 10:30:00 AM,17.475,,,
96,05/18/17 10:45:00 AM,17.475,,,
97,05/18/17 11:00:00 AM,17.475,,,
98,05/18/17 11:15:00 AM,17.475,,,
99,05/18/17 11:30:00 AM,17.570,,,
100,05/18/17 11:45:00 AM,17.570,,,
101,05/18/17 12:00:00 PM,17.570,,,
102,05/18/17 12:15:00 PM,17.570,,,
103,05/18/17 12:30:00 PM,17.665,,,
104,05/18/17 12:45:00 PM,17.665,,,
105,05/18/17 01:00:00 PM,17.665,,,
106,05/18/17 01:15:00 PM,17.760,,,
107,05/18/17 01:30:00 PM,17.760,,,
108,05/18/17 01:45:00 PM,17.760,,,
109,05/18/17 02:00:00 PM,17.760,,,
110,05/18/17 02:15:00 PM,17.855,,,
