Sample,Population,Temperature,pH,Date,Replicate, Length ,Weight,
SN-6-1,SN,6,Pre-pH,2/4/17,NA, 31.1 , 6.3 ,
SN-6-2,SN,6,Pre-pH,2/4/17,NA, 33.9 , 7.8 ,
SN-6-3,SN,6,Pre-pH,2/4/17,NA, 37.4 , 11.0 ,
SN-6-4,SN,6,Pre-pH,2/4/17,NA, 33.1 , 8.6 ,
SN-6-5,SN,6,Pre-pH,2/4/17,NA, 35.0 , 8.8 ,
SN-6-6,SN,6,Pre-pH,2/4/17,NA, 31.2 , 7.2 ,
SN-6-7,SN,6,Pre-pH,2/4/17,NA, 31.9 , 5.4 ,
SN-6-8,SN,6,Pre-pH,2/4/17,NA, 30.4 , 4.9 ,
SN-6-9,SN,6,Pre-pH,2/4/17,NA, 40.4 , 10.8 ,
SN-6-10,SN,6,Pre-pH,2/4/17,NA, 34.3 , 8.7 ,
SN-6-11,SN,6,Pre-pH,2/4/17,NA, 31.1 , 7.3 ,
SN-6-12,SN,6,Pre-pH,2/4/17,NA, 29.2 , 5.3 ,
SN-6-13,SN,6,Pre-pH,2/4/17,NA, 33.3 , 6.3 ,
SN-6-14,SN,6,Pre-pH,2/4/17,NA, 26.5 , 4.5 ,
SN-6-15,SN,6,Pre-pH,2/4/17,NA, 27.1 , 4.7 ,
SN-10-1,SN,10,Pre-pH,2/4/17,NA, 27.9 , 6.4 ,
SN-10-2,SN,10,Pre-pH,2/4/17,NA, 30.5 , 6.0 ,
SN-10-3,SN,10,Pre-pH,2/4/17,NA, 38.1 , 9.1 ,
SN-10-4,SN,10,Pre-pH,2/4/17,NA, 37.5 , 11.1 ,
SN-10-5,SN,10,Pre-pH,2/4/17,NA, 34.4 , 8.1 ,
SN-10-6,SN,10,Pre-pH,2/4/17,NA, 34.8 , 10.0 ,
SN-10-7,SN,10,Pre-pH,2/4/17,NA, 36.0 , 10.6 ,
SN-10-8,SN,10,Pre-pH,2/4/17,NA, 40.4 , 10.7 ,
SN-10-9,SN,10,Pre-pH,2/4/17,NA, 37.4 , 7.9 ,
SN-10-10,SN,10,Pre-pH,2/4/17,NA, 26.5 , 7.1 ,
SN-10-11,SN,10,Pre-pH,2/4/17,NA, 39.9 , 5.9 ,
SN-10-12,SN,10,Pre-pH,2/4/17,NA, 30.5 , 7.2 ,
SN-10-13,SN,10,Pre-pH,2/4/17,NA, 31.4 , 7.0 ,
SN-10-14,SN,10,Pre-pH,2/4/17,NA, 26.5 , 5.1 ,
SN-10-15,SN,10,Pre-pH,2/4/17,NA, 26.5 , 4.9 ,
NF-6-1,NF,6,Pre-pH,2/4/17,NA, 29.1 , 4.7 ,
NF-6-2,NF,6,Pre-pH,2/4/17,NA, 36.1 , 7.6 ,
NF-6-3,NF,6,Pre-pH,2/4/17,NA, 27.5 , 5.3 ,
NF-6-4,NF,6,Pre-pH,2/4/17,NA, 38.5 , 7.1 ,
NF-6-5,NF,6,Pre-pH,2/4/17,NA, 34.1 , 7.8 ,
NF-6-6,NF,6,Pre-pH,2/4/17,NA, 39.6 , 7.1 ,
NF-6-7,NF,6,Pre-pH,2/4/17,NA, 29.0 , 5.6 ,
NF-6-8,NF,6,Pre-pH,2/4/17,NA, 38.4 , 10.4 ,
NF-6-9,NF,6,Pre-pH,2/4/17,NA, 38.4 , 7.6 ,
NF-6-10,NF,6,Pre-pH,2/4/17,NA, 25.1 , 2.9 ,
NF-6-11,NF,6,Pre-pH,2/4/17,NA, 36.5 , 8.5 ,
NF-6-12,NF,6,Pre-pH,2/4/17,NA, 24.5 , 3.3 ,
NF-6-13,NF,6,Pre-pH,2/4/17,NA, 37.4 , 8.4 ,
NF-6-14,NF,6,Pre-pH,2/4/17,NA, 40.0 , 9.1 ,
NF-6-15,NF,6,Pre-pH,2/4/17,NA, 28.4 , 5.9 ,
NF-10-1,NF,10,Pre-pH,2/4/17,NA, 30.6 , 5.7 ,
NF-10-2,NF,10,Pre-pH,2/4/17,NA, 33.5 , 8.4 ,
NF-10-3,NF,10,Pre-pH,2/4/17,NA, 25.6 , 3.5 ,
NF-10-4,NF,10,Pre-pH,2/4/17,NA, 33.4 , 8.6 ,
NF-10-5,NF,10,Pre-pH,2/4/17,NA, 36.4 , 9.5 ,
NF-10-6,NF,10,Pre-pH,2/4/17,NA, 35.5 , 8.6 ,
NF-10-7,NF,10,Pre-pH,2/4/17,NA, 42.2 , 8.7 ,
NF-10-8,NF,10,Pre-pH,2/4/17,NA, 22.0 , 3.4 ,
NF-10-9,NF,10,Pre-pH,2/4/17,NA, 35.3 , 5.2 ,
NF-10-10,NF,10,Pre-pH,2/4/17,NA, 34.1 , 5.6 ,
NF-10-11,NF,10,Pre-pH,2/4/17,NA, 25.4 , 4.2 ,
NF-10-12,NF,10,Pre-pH,2/4/17,NA, 30.5 , 9.4 ,
NF-10-13,NF,10,Pre-pH,2/4/17,NA, 37.1 , 9.3 ,
NF-10-14,NF,10,Pre-pH,2/4/17,NA, 37.1 , 8.3 ,
