SAMPLE DATE,POPULATION,TEMPERATURE,PH,TREATMENT,SAMPLE #,SEX,STAGE,NOTES
4/8/17,HL,6,LOW,6-LOW,10,F,3,
4/8/17,HL,6,LOW,6-LOW,11,H,0,OR possibly no gonad in section 
4/8/17,HL,6,LOW,6-LOW,12,M,2,
4/8/17,HL,6,LOW,6-LOW,13,M,0,
4/8/17,HL,6,LOW,6-LOW,14,M,1,
4/8/17,HL,6,LOW,6-LOW,15,F,4,partially spawned
4/8/17,HL,6,AMBIENT,6-AMBIENT,16,M,0,
4/8/17,HL,6,AMBIENT,6-AMBIENT,17,H,2,
4/8/17,HL,6,AMBIENT,6-AMBIENT,18,HPF,3,
4/8/17,HL,6,AMBIENT,6-AMBIENT,19,M,2,
4/8/17,HL,6,AMBIENT,6-AMBIENT,20,M,3,
4/8/17,HL,6,AMBIENT,6-AMBIENT,21,M,2,ish or 3
4/8/17,HL,10,LOW,10-LOW,10,F,3,"(possibly 2, more likely 3)"
4/8/17,HL,10,LOW,10-LOW,11,M,2,
4/8/17,HL,10,LOW,10-LOW,12,F,3,
4/8/17,HL,10,LOW,10-LOW,13,M,2,
4/8/17,HL,10,LOW,10-LOW,14,M,0,
4/8/17,HL,10,LOW,10-LOW,15,HPF,2,
4/8/17,HL,10,AMBIENT,10-AMBIENT,16,F,3,
4/8/17,HL,10,AMBIENT,10-AMBIENT,17,H,2,
4/8/17,HL,10,AMBIENT,10-AMBIENT,18,M,0,
4/8/17,HL,10,AMBIENT,10-AMBIENT,19,H,2,
4/8/17,HL,10,AMBIENT,10-AMBIENT,20,HPF,1,
4/8/17,HL,10,AMBIENT,10-AMBIENT,21,H,2,or atrophying
4/8/17,NF,6,LOW,6-LOW,16,F,1,
4/8/17,NF,6,LOW,6-LOW,17,H,0,
4/8/17,NF,6,LOW,6-LOW,18,M,0,
4/8/17,NF,6,LOW,6-LOW,19,M,0,
4/8/17,NF,6,LOW,6-LOW,20,H,2,or atrophying
4/8/17,NF,6,LOW,6-LOW,21,M,2,or atrophying
4/8/17,NF,6,LOW,6-LOW,22,M,3,
4/8/17,NF,6,LOW,6-LOW,23,HPF,1,
4/8/17,NF,6,LOW,6-LOW,24,H,2,
4/8/17,NF,6,AMBIENT,6-AMBIENT,25,HPF,3,"ripe oocyes, 2-stage sperm, VERY pretty cross section!"
4/8/17,NF,6,AMBIENT,6-AMBIENT,26,H,3,
4/8/17,NF,6,AMBIENT,6-AMBIENT,27,HPM,2,OR #29
4/8/17,NF,6,AMBIENT,6-AMBIENT,28,F,2,or atrophying
4/8/17,NF,6,AMBIENT,6-AMBIENT,29,F,1,OR #27
4/8/17,NF,6,AMBIENT,6-AMBIENT,30,M,0,
4/8/17,NF,6,AMBIENT,6-AMBIENT,31,M,1,
4/8/17,NF,6,AMBIENT,6-AMBIENT,32,H,3,
4/8/17,NF,6,AMBIENT,6-AMBIENT,33,F,2,
4/8/17,NF,10,LOW,10-LOW,16,M,3,
4/8/17,NF,10,LOW,10-LOW,17,HPF,2,ish or 3
4/8/17,NF,10,LOW,10-LOW,18,M,3,
4/8/17,NF,10,LOW,10-LOW,19,M,3,
4/8/17,NF,10,LOW,10-LOW,20,HPM,2,
4/8/17,NF,10,LOW,10-LOW,21,HPF,3,
4/8/17,NF,10,LOW,10-LOW,22,H,3,
4/8/17,NF,10,LOW,10-LOW,23,F,3,very ripe
4/8/17,NF,10,LOW,10-LOW,24,M,3,"most regions 3, some regions 2"
4/8/17,NF,10,AMBIENT,10-AMBIENT,25,HPF,3,tissue sample on slide is mostly gonad 
4/8/17,NF,10,AMBIENT,10-AMBIENT,26,M,0,
4/8/17,NF,10,AMBIENT,10-AMBIENT,27,H,0,
4/8/17,NF,10,AMBIENT,10-AMBIENT,28,HPM,2,or atrophying
4/8/17,NF,10,AMBIENT,10-AMBIENT,29,HPM,2,
4/8/17,NF,10,AMBIENT,10-AMBIENT,30,HPF,3,
4/8/17,NF,10,AMBIENT,10-AMBIENT,31,HPF,3,
4/8/17,NF,10,AMBIENT,10-AMBIENT,32,HPF,2,
4/8/17,NF,10,AMBIENT,10-AMBIENT,33,HPF,2,or atrophying
4/8/17,SN,6,LOW,6-LOW,16,HPF,3,some atrophying
4/8/17,SN,6,LOW,6-LOW,17,HPF,2,or atrophying
4/8/17,SN,6,LOW,6-LOW,18,H,2,does have some ripe sperm balls
4/8/17,SN,6,LOW,6-LOW,19,M,1,
4/8/17,SN,6,LOW,6-LOW,20,H,0,
4/8/17,SN,6,LOW,6-LOW,21,HPF,1,
4/8/17,SN,6,LOW,6-LOW,22,H,2,
4/8/17,SN,6,LOW,6-LOW,23,M,1,
4/8/17,SN,6,LOW,6-LOW,24,H,2,
4/8/17,SN,6,AMBIENT,6-AMBIENT,25,HPF,2,VERY pretty cross section
4/8/17,SN,6,AMBIENT,6-AMBIENT,26,F,2,
4/8/17,SN,6,AMBIENT,6-AMBIENT,27,F,1,
4/8/17,SN,6,AMBIENT,6-AMBIENT,28,HPM,2,
4/8/17,SN,6,AMBIENT,6-AMBIENT,29,HPF,3,
4/8/17,SN,6,AMBIENT,6-AMBIENT,30,F,3,
4/8/17,SN,6,AMBIENT,6-AMBIENT,31,M,0,
4/8/17,SN,6,AMBIENT,6-AMBIENT,32,H,2,might have accidentally swapped the gonad analysis for sn6-32 & sn6-30
4/8/17,SN,6,AMBIENT,6-AMBIENT,33,F,2,
4/8/17,SN,10,LOW,10-LOW,16,F,3,very ripe!
4/8/17,SN,10,LOW,10-LOW,17,H,2,"or 3 - equal amounts of sperm & eggs, pretty ripe"
4/8/17,SN,10,LOW,10-LOW,18,HPM,2,
4/8/17,SN,10,LOW,10-LOW,19,H,2,
4/8/17,SN,10,LOW,10-LOW,20,M,3,
4/8/17,SN,10,LOW,10-LOW,21,F,2,
4/8/17,SN,10,LOW,10-LOW,22,M,0,
4/8/17,SN,10,LOW,10-LOW,23,H,2,
4/8/17,SN,10,LOW,10-LOW,24,F,2,or atrophying
4/8/17,SN,10,AMBIENT,10-AMBIENT,25,M,3,
4/8/17,SN,10,AMBIENT,10-AMBIENT,26,H,2,
4/8/17,SN,10,AMBIENT,10-AMBIENT,27,H,0,
4/8/17,SN,10,AMBIENT,10-AMBIENT,28,HPM,3,or maybe 2 É lots of ripe sperm balls but also some unripe oocytes
4/8/17,SN,10,AMBIENT,10-AMBIENT,29,F,2,
4/8/17,SN,10,AMBIENT,10-AMBIENT,30,M,0,
4/8/17,SN,10,AMBIENT,10-AMBIENT,31,F,3,nice oocyte sample
4/8/17,SN,10,AMBIENT,10-AMBIENT,32,H,2,
4/8/17,SN,10,AMBIENT,10-AMBIENT,33,HPF,2,
