Population,Phase,Treatment,ID,Sex,Stage,Sex.Stage
HL,TEMP,10,HL-10 1,HBS,2,HBS2
HL,TEMP,10,HL-10 2,M,2,M2
HL,TEMP,10,HL-10 3,M,2,M2
HL,TEMP,10,HL-10 4,HPM,2,HPM2
HL,TEMP,10,HL-10 5,F,3,F3
HL,TEMP,10,HL-10 6,M,3,M3
HL,TEMP,10,HL-10 7,M,3,M3
HL,TEMP,10,HL-10 8,M,2,M2
HL,TEMP,10,HL-10 9,M,3,M3
HL,TEMP,6,HL-6 1,HPF,3,HPF3
HL,TEMP,6,HL-6 7,HPF,2,HPF2
HL,TEMP,6,HL-6 8,HPF,2,HPF2
HL,TEMP,6,HL-6 9,HBS,2,HBS2
K,TEMP,10,K-10 1,HPM,2,HPM2
K,TEMP,10,K-10 2,M,1,M1
K,TEMP,10,K-10 3,HPM,2,HPM2
K,TEMP,10,K-10 4,HPF,2,HPF2
K,TEMP,10,K-10 5,M,1,M1
K,TEMP,10,K-10 6,HPF,2,HPF2
K,TEMP,10,K-10 7,M,1,M1
K,TEMP,10,K-10 8,M,1,M1
K,TEMP,10,K-10 9,HBS,1,HBS1
K,TEMP,10,K-10 10,M,1,M1
K,TEMP,10,K-10 11,HPM,2,HPM2
K,TEMP,10,K-10 12,F,2,F2
K,TEMP,10,K-10 13,M,2,M2
K,TEMP,10,K-10 14,M,2,M2
K,TEMP,10,K-10 15,M,2,M2
K,TEMP,6,K-6 1,M,2,M2
K,TEMP,6,K-6 2,HBS,1,HBS1
K,TEMP,6,K-6 3,M,1,M1
K,TEMP,6,K-6 4,M,3,M3
K,TEMP,6,K-6 5,M,2,M2
K,TEMP,6,K-6 6,F,1,F1
K,TEMP,6,K-6 7,F,3,F3
K,TEMP,6,K-6 8,M,1,M1
K,TEMP,6,K-6 9,M,1,M1
K,TEMP,6,K-6 10,HBS,1,HBS1
K,TEMP,6,K-6 11,HPF,2,HPF2
K,TEMP,6,K-6 12,M,2,M2
K,TEMP,6,K-6 13,M,1,M1
K,TEMP,6,K-6 14,HPF,2,HPF2
K,TEMP,6,K-6 15,M,2,M2
NF,TEMP,10,NF-10 1,HBS,1,HBS1
NF,TEMP,10,NF-10 2,M,2,M2
NF,TEMP,10,NF-10 3,M,2,M2
NF,TEMP,10,NF-10 4,M,1,M1
NF,TEMP,10,NF-10 5,M,3,M3
NF,TEMP,10,NF-10 6,HPM,2,HPM2
NF,TEMP,10,NF-10 7,HPM,1,HPM1
NF,TEMP,10,NF-10 8,HPM,3,HPM3
NF,TEMP,10,NF-10 9,M,1,M1
NF,TEMP,10,NF-10 10,M,2,M2
NF,TEMP,10,NF-10 11,HBS,2,HBS2
NF,TEMP,10,NF-10 12,M,1,M1
NF,TEMP,10,NF-10 13,HBS,2,HBS2
NF,TEMP,10,NF-10 14,M,2,M2
NF,TEMP,10,NF-10 15,HPM,2,HPM2
NF,TEMP,6,NF-6 1,M,2,M2
NF,TEMP,6,NF-6 2,M,2,M2
NF,TEMP,6,NF-6 3,HBS,1,HBS1
NF,TEMP,6,NF-6 4,M,2,M2
NF,TEMP,6,NF-6 5,HPF,2,HPF2
NF,TEMP,6,NF-6 6,HPF,2,HPF2
NF,TEMP,6,NF-6 7,M,1,M1
NF,TEMP,6,NF-6 8,M,3,M3
NF,TEMP,6,NF-6 9,M,1,M1
NF,TEMP,6,NF-6 10,HBS,2,HBS2
NF,TEMP,6,NF-6 11,M,2,M2
NF,TEMP,6,NF-6 12,M,1,M1
NF,TEMP,6,NF-6 13,M,2,M2
NF,TEMP,6,NF-6 14,M,3,M3
NF,TEMP,6,NF-6 15,M,1,M1
SN,TEMP,10,SN-10 1,HPF,2,HPF2
SN,TEMP,10,SN-10 2,HPF,3,HPF3
SN,TEMP,10,SN-10 3,M,1,M1
SN,TEMP,10,SN-10 4,M,2,M2
SN,TEMP,10,SN-10 5,HBS,2,HBS2
SN,TEMP,10,SN-10 6,HPF,3,HPF3
SN,TEMP,10,SN-10 7,HPM,2,HPM2
SN,TEMP,10,SN-10 8,HPF,2,HPF2
SN,TEMP,10,SN-10 9,F,3,F3
SN,TEMP,10,SN-10 10,HPF,1,HPF1
SN,TEMP,10,SN-10 11,F,2,F2
SN,TEMP,10,SN-10 12,F,3,F3
SN,TEMP,10,SN-10 13,F,3,F3
SN,TEMP,10,SN-10 14,HPF,3,HPF3
SN,TEMP,10,SN-10 15,M,2,M2
SN,TEMP,6,SN-6 1,M,3,M3
SN,TEMP,6,SN-6 2,M,2,M2
SN,TEMP,6,SN-6 3,F,2,F2
SN,TEMP,6,SN-6 4,M,2,M2
SN,TEMP,6,SN-6 5,HPM,2,HPM2
SN,TEMP,6,SN-6 6,HPF,2,HPF2
SN,TEMP,6,SN-6 7,HPF,2,HPF2
SN,TEMP,6,SN-6 8,F,2,F2
SN,TEMP,6,SN-6 9,M,1,M1
SN,TEMP,6,SN-6 10,F,2,F2
SN,TEMP,6,SN-6 11,F,2,F2
SN,TEMP,6,SN-6 12,M,2,M2
SN,TEMP,6,SN-6 13,F,2,F2
