DATE,BAY,HABITAT,POUCH,POPULATION,PH,SIZE,HAB.PH,POP.PH.HAB,DEPLOYED,SURVIVED,MASS.F,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16
?,?,?,12,FB,A,S,NA,NA,15,0,NA,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,48,FB,A,L,AMB.BARE,FB.AMB.BARE,15,5,11.8,26.18,18.76,31.23,31.66,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,39,FB,A,S,AMB.BARE,FB.AMB.BARE,15,1,1,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,42,FB,A,S,AMB.BARE,FB.AMB.BARE,15,1,0.9,18.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,65,HC,A,L,AMB.BARE,HC.AMB.BARE,15,5,6.1,19.77,19.56,22.46,19.71,20.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,51,HC,A,S,AMB.BARE,HC.AMB.BARE,15,4,2.8,20.94,16.55,20.01,14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,117,SSF1,A,L,AMB.BARE,SSF1.AMB.BARE,5,2,5.2,25.57,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,97,SSF1,A,S,AMB.BARE,SSF1.AMB.BARE,5,3,2.3,19.75,17.74,18.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,162,SSF2,A,L,AMB.BARE,SSF2.AMB.BARE,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,22,FB,L,L,LOW.BARE,FB.LOW.BARE,15,12,16.2,21.86,20.07,28.99,25.62,16.04,29.01,21.94,26.31,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,14,FB,L,S,LOW.BARE,FB.LOW.BARE,15,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,96,HC,L,L,LOW.BARE,HC.LOW.BARE,15,8,5,20.09,18.72,17.42,10.01,18.58,20.89,15.01,15.81,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,78,HC,L,S,LOW.BARE,HC.LOW.BARE,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,150,SSF1,L,L,LOW.BARE,SSF1.LOW.BARE,5,4,9,29.11,26.56,18.67,25.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,126,SSF1,L,S,LOW.BARE,SSF1.LOW.BARE,5,5,7.6,17.48,20.55,27.22,24.11,25.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,B,186,SSF2,L,L,LOW.BARE,SSF2.LOW.BARE,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,9,FB,A,S,AMB.EEL,FB.AMB.EEL,15,7,7.8,21.26,25.81,25.79,22.5,13.06,18.92,17.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,66,HC,A,L,AMB.EEL,HC.AMB.EEL,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,56,HC,A,S,AMB.EEL,HC.AMB.EEL,15,2,1.2,19.45,15.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,116,SSF1,A,L,AMB.EEL,SSF1.AMB.EEL,5,4,9.5,22.94,29.98,29.39,23.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,102,SSF1,A,S,AMB.EEL,SSF1.AMB.EEL,5,1,1,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,159,SSF2,A,L,AMB.EEL,SSF2.AMB.EEL,14,4,8.8,23.04,24.5,26.46,25.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,33,FB,L,L,LOW.EEL,FB.LOW.EEL,15,5,9.3,23.55,21.02,19.05,24.23,25.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,30,FB,L,S,LOW.EEL,FB.LOW.EEL,15,6,6.9,19.28,13.94,18.1,22.48,22.27,25.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,93,HC,L,L,LOW.EEL,HC.LOW.EEL,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,77,HC,L,S,LOW.EEL,HC.LOW.EEL,15,1,0.4,11.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,142,SSF1,L,L,LOW.EEL,SSF1.LOW.EEL,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,124,SSF1,L,S,LOW.EEL,SSF1.LOW.EEL,5,1,0.2,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/18,CI,E,189,SSF2,L,L,LOW.EEL,SSF2.LOW.EEL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,47,FB,A,L,AMB.BARE,FB.AMB.BARE,15,10,12.3,27.18,15.04,23.46,25.08,23.14,23.7,24.24,20.77,18.26,13.02,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,38,FB,A,S,AMB.BARE,FB.AMB.BARE,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,41,FB,A,S,AMB.BARE,FB.AMB.BARE,15,2,NA,9.52,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,64,HC,A,L,AMB.BARE,HC.AMB.BARE,15,1,0.5,16.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,58,HC,A,S,AMB.BARE,HC.AMB.BARE,15,4,0.4,NA,9.33,12.44,16.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,120,SSF1,A,S,AMB.BARE,SSF1.AMB.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,160,SSF2,A,L,AMB.BARE,SSF2.AMB.BARE,14,3,6.6,24.33,28.37,25.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,35,FB,L,L,LOW.BARE,FB.LOW.BARE,15,14,17,14.34,20.96,27.05,25.41,20.59,26.1,20.96,26.58,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,86,HC,L,L,LOW.BARE,HC.LOW.BARE,15,1,NA,13.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,80,HC,L,S,LOW.BARE,HC.LOW.BARE,15,4,0.1,NA,NA,10.36,11.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,158,SSF1,L,L,LOW.BARE,SSF1.LOW.BARE,6,6,9.4,23.35,22.31,26.01,19.28,22.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,139,SSF1,L,S,LOW.BARE,SSF1.LOW.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,B,174,SSF2,L,L,LOW.BARE,SSF2.LOW.BARE,10,4,NA,NA,NA,9.19,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,6,FB,A,L,AMB.EEL,FB.AMB.EEL,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,71,HC,A,L,AMB.EEL,HC.AMB.EEL,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,54,HC,A,S,AMB.EEL,HC.AMB.EEL,15,5,0.3,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,110,SSF1,A,L,AMB.EEL,SSF1.AMB.EEL,5,4,5.9,25.34,22.39,22.96,25.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,118,SSF1,A,L,AMB.EEL,SSF1.AMB.EEL,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,105,SSF1,A,S,AMB.EEL,SSF1.AMB.EEL,5,4,3.8,11.09,17.35,23.25,22.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,169,SSF2,A,L,AMB.EEL,SSF2.AMB.EEL,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,31,FB,L,L,LOW.EEL,FB.LOW.EEL,15,14,19.9,25.48,29.63,23.44,23.45,23.86,28.89,25.23,28.54,28.89,25.23,28.54,NA,NA,NA,NA,NA
9/6/18,FB,E,13,FB,L,S,LOW.EEL,FB.LOW.EEL,15,11,3.5,NA,NA,NA,11.54,11.7,12.6,12.63,17.12,17.39,18.6,19.2,NA,NA,NA,NA,NA
9/6/18,FB,E,15,FB,L,S,LOW.EEL,FB.LOW.EEL,15,12,3.6,9.67,10.51,11.08,12.97,14.03,17.28,15,16.87,15.08,16.56,15.31,22.64,NA,NA,NA,NA
9/6/18,FB,E,95,HC,L,L,LOW.EEL,HC.LOW.EEL,15,10,3.8,NA,NA,9.17,9.61,12.25,16.95,17.88,16.04,24.22,24.13,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,75,HC,L,S,LOW.EEL,HC.LOW.EEL,15,8,0.8,NA,NA,NA,NA,NA,16.23,15.3,16.46,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,141,SSF1,L,L,LOW.EEL,SSF1.LOW.EEL,6,4,8,20.64,26.4,25.52,20.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,129,SSF1,L,S,LOW.EEL,SSF1.LOW.EEL,5,4,4.4,25.86,30.52,23.95,11.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,183,SSF2,L,L,LOW.EEL,SSF2.LOW.EEL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/18,FB,E,185,SSF2,L,L,LOW.EEL,SSF2.LOW.EEL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,8,FB,A,S,AMB.BARE,FB.AMB.BARE,15,5,5.4,20.7,18.9,20.1,22.7,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,11,FB,A,S,AMB.BARE,FB.AMB.BARE,15,1,0.5,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,63,HC,A,L,AMB.BARE,HC.AMB.BARE,15,4,3.6,17.48,25.54,19.17,20.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,53,HC,A,S,AMB.BARE,HC.AMB.BARE,15,3,1.4,14.1,15.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,113,SSF1,A,L,AMB.BARE,SSF1.AMB.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,101,SSF1,A,S,AMB.BARE,SSF1.AMB.BARE,5,1,1,16.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,168,SSF2,A,L,AMB.BARE,SSF2.AMB.BARE,14,3,5.7,21.57,25.24,24.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,24,FB,L,L,LOW.BARE,FB.LOW.BARE,17,16,22.9,28,31.39,29.09,23.59,26,24.44,25.07,20.95,23.73,19.18,19.07,16.17,19.57,15.55,16.95,19.74
9/8/18,PG,B,16,FB,L,S,LOW.BARE,FB.LOW.BARE,15,9,6.7,20,20.1,17.5,10.2,12,17.9,19.5,15.3,17,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,89,HC,L,L,LOW.BARE,HC.LOW.BARE,15,12,9.3,17.16,20.24,26.29,24.77,16.14,18.75,18.89,17.15,14.24,12.69,20.19,20.41,NA,NA,NA,NA
9/8/18,PG,B,74,HC,L,S,LOW.BARE,HC.LOW.BARE,15,5,3.4,20.5,18.1,15.8,11.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,152,SSF1,L,L,LOW.BARE,SSF1.LOW.BARE,5,5,6.9,24.27,27.47,19.83,27.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,127,SSF1,L,S,LOW.BARE,SSF1.LOW.BARE,5,5,5,20,18.02,23.9,17.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,B,184,SSF2,L,L,LOW.BARE,SSF2.LOW.BARE,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,3,FB,A,L,AMB.EEL,FB.AMB.EEL,15,9,15.56,29.19,28.05,24.72,26.1,27.25,38.91,19.99,23.84,13.8,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,61,HC,A,L,AMB.EEL,HC.AMB.EEL,15,13,10.2,23.33,16.01,23.67,22.22,21.63,23.03,21.1,17.43,18.59,20.94,18.71,23.43,22.95,20.03,NA,NA
9/8/18,PG,E,49,HC,A,S,AMB.EEL,HC.AMB.EEL,15,1,0.9,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,111,SSF1,A,L,AMB.EEL,SSF1.AMB.EEL,5,5,11.3,28.82,27.29,33.07,24.41,20.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,99,SSF1,A,S,AMB.EEL,SSF1.AMB.EEL,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,106,SSF1,A,S,AMB.EEL,SSF1.AMB.EEL,5,4,6.7,26.2,21.3,15.2,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,164,SSF2,A,L,AMB.EEL,SSF2.AMB.EEL,14,3,5.1,28.71,16.42,23.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,32,FB,L,L,LOW.EEL,FB.LOW.EEL,15,12,17.7,27.45,32.1,27.22,22.65,31.07,26.06,21.71,26.14,15.89,25.27,24.74,19,NA,NA,NA,NA
9/8/18,PG,E,17,FB,L,S,LOW.EEL,FB.LOW.EEL,15,9,7.8,18.9,18.9,21.9,22,16.8,14.4,20.5,28.9,18.3,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,94,HC,L,L,LOW.EEL,HC.LOW.EEL,15,10,8.2,15.78,15.62,18.52,21.19,17.91,20.35,19.18,17.57,17.65,22.06,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,81,HC,L,S,LOW.EEL,HC.LOW.EEL,15,11,5.4,9,18.1,18.1,11.8,9.9,11,16.1,17.2,18.1,18.3,12,NA,NA,NA,NA,NA
9/8/18,PG,E,128,SSF1,L,S,LOW.EEL,SSF1.LOW.EEL,5,4,3.1,18.1,21.4,14.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/18,PG,E,188,SSF2,L,L,LOW.EEL,SSF2.LOW.EEL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,45,FB,A,L,AMB.BARE,FB.AMB.BARE,15,6,6.7,19.39,23.45,19.21,19.4,17.57,29.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,67,HC,A,L,AMB.BARE,HC.AMB.BARE,15,7,5.6,17.15,18.04,18.96,14.45,25.6,18.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,59,HC,A,S,AMB.BARE,HC.AMB.BARE,15,5,2.6,17.1,18.8,10.5,19,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,112,SSF1,A,L,AMB.BARE,SSF1.AMB.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/18,SK,B,98,SSF1,A,S,AMB.BARE,SSF1.AMB.BARE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
